
["10", "3", "159.2015696196229", "7874.0", "7811.0", "300.03200006484985", "7.0"]
["10", "6", "81.4884986314192", "7351.0", "7165.0", "300.00600004196167", "5.0"]
["10", "9", "42.05308094461347", "8489.0", "8456.0", "300.0019998550415", "3.0"]
["14", "3", "163.58979930789144", "3165.0", "2945.0", "300.0880000591278", "12.0"]
["14", "6", "50.81883203816543", "2873.0", "2556.0", "300.039999961853", "12.0"]
["14", "9", "827.7725230973015", "3065.0", "3065.0", "300.0550000667572", "0.0"]
["10", "3", "162.41156961962292", "5090.0", "4962.0", "300.018000125885", "10.0"]
["10", "6", "80.1015196144283", "5142.0", "5078.0", "300.0089998245239", "9.0"]
["10", "9", "48.54308094461349", "5272.0", "5201.0", "300.0130000114441", "5.0"]
["10", "3", "162.41156961962292", "10001.0", "9960.0", "605.6760001182556", "9.0"]
["10", "6", "86.41849863141921", "10001.0", "9884.0", "456.16600012779236", "8.0"]
["10", "3", "162.40560226909614", "16399.0", "16326.0", "900.0099999904633", "6.0"]
["10", "6", "89.57759609681545", "23235.0", "23192.0", "900.0060000419617", "9.0"]
["10", "9", "48.54308094461349", "23142.0", "23069.0", "900.029000043869", "5.0"]
["14", "3", "658.7046107779934", "7846.0", "7697.0", "900.0130000114441", "1.0"]
["14", "6", "70.30078572732849", "7760.0", "7687.0", "900.0730001926422", "15.0"]
["14", "9", "818.2525230973023", "8068.0", "8068.0", "900.0810000896454", "0.0"]
["22", "3", "618.7434276441724", "1499.0", "705.0", "900.2530000209808", "19.0"]
["22", "6", "228.67325230880417", "1497.0", "594.0", "900.1129999160767", "29.0"]
["22", "9", "105.9195839450369", "1510.0", "948.0", "900.1050000190735", "27.0"]
["26", "3", "4834.487008040781", "785.0", "411.0", "901.154000043869", "19.0"]
